Date,USD_Rate,Gold_Price_per_Gram_INR
2024-01-02,83.20259857177734,5522.31859328768
2024-01-09,83.05069732666016,5410.771620246887
2024-01-16,82.8593978881836,5397.242757935922
2024-01-23,83.09510040283203,5406.451062672472
2024-01-30,83.1530990600586,5431.07755527542
2024-02-06,83.10369873046875,5435.8665445090965
2024-02-13,82.99019622802734,5317.44543504633
2024-02-20,83.02100372314453,5411.773113915654
2024-02-27,82.85199737548828,5418.070720714491
2024-03-05,82.9104995727539,5687.1268776334
2024-03-12,82.7782974243164,5749.649578718635
2024-03-19,82.86360168457031,5744.652156783425
2024-03-26,83.41739654541016,5834.806245934524
2024-04-02,83.40969848632812,6063.283176413841
2024-04-09,83.26959991455078,6273.966190292082
2024-04-16,83.50599670410156,6418.767694877016
2024-04-23,83.38619995117188,6240.392674610605
2024-04-30,83.45110321044922,6147.856342434181
2024-05-07,83.4728012084961,6213.32728734997
2024-05-14,83.50550079345703,6318.3190770327365
2024-05-21,83.31500244140625,6486.856377714346
2024-05-28,83.14569854736328,6295.907057369795
2024-06-04,83.09339904785156,6212.603066721713
2024-06-11,83.52980041503906,6196.891489951377
2024-06-18,83.51010131835938,6256.9142365657035
2024-06-25,83.46040344238281,6216.161485525875
2024-07-02,83.44129943847656,6231.907617971645
2024-07-09,83.45760345458984,6332.673109564328
2024-07-16,83.58760070800781,6617.457836595458
2024-07-23,83.67130279541016,6468.597517091933
2024-07-30,83.75050354003906,6475.7972901375715
2024-08-06,84.00260162353516,6452.348569844773
2024-08-13,83.88999938964844,6652.995881436315
2024-08-20,83.87860107421875,6772.367578353573
2024-08-27,83.88369750976562,6785.454464435524
2024-09-03,83.92729949951172,6718.554980237236
2024-09-10,83.98090362548828,6783.32754445462
2024-09-17,83.88400268554688,6915.741063946065
2024-09-24,83.55960083007812,7122.45276707266
2024-10-01,83.82730102539062,7188.662501588386
2024-10-08,83.96410369873047,7059.209772925239
2024-10-15,84.04850006103516,7191.6880690140215
2024-10-22,84.07350158691406,7417.637852642247
2024-10-29,84.10279846191406,7485.658496593598
2024-11-05,84.15249633789062,7414.055968740826
2024-11-12,84.39649963378906,7054.861962411032
2024-11-19,84.39849853515625,7128.564429847119
2024-11-26,84.37750244140625,7108.343876644494
2024-12-03,84.73709869384766,7205.111989906771
2024-12-10,84.84729766845703,7358.788511784803
2024-12-17,84.91729736328125,7219.614926125873
2024-12-24,85.0988998413086,7168.2967378021285
2024-12-31,85.7865982055664,7251.5993316918175
2025-01-07,85.68070220947266,7318.402024732843
2025-01-14,86.65059661865234,7459.191809489017
2025-01-21,86.21109771728516,7636.168733779819
2025-01-28,86.46839904785156,7691.763650640137
2025-02-04,86.94339752197266,7975.809809015952
2025-02-11,87.49009704589844,8192.48340688923
2025-02-18,86.85479736328125,8186.3305554715425
2025-02-25,86.69010162353516,8095.275456638573
2025-03-04,87.32959747314453,8169.312306851072
2025-03-11,87.3551025390625,8180.965796622998
2025-03-18,86.91639709472656,8481.359503275644
2025-03-25,85.53209686279297,8314.929095042526
2025-04-01,85.46810150146484,8570.304095244086
2025-04-08,86.0270004272461,8210.090172075908
2025-04-15,86.0447998046875,8904.219555032116
2025-04-22,85.15889739990234,9311.118762703141
2025-04-29,85.1603012084961,9086.75910456941
2025-05-06,84.2208023071289,9237.25100923857
2025-05-13,84.9656982421875,8851.555489346083
2025-05-20,85.37210083007812,9003.684682478335
2025-05-27,85.158203125,9032.59878296392
2025-06-03,85.36370086669922,9194.639396706682
2025-06-10,85.75599670410156,9156.11044030549
2025-06-17,86.10420227050781,9375.166776019267
2025-06-24,86.23300170898438,9197.336359194083
2025-07-01,85.71399688720703,9195.167400076838
2025-07-08,85.89199829101562,9132.246800147528
2025-07-15,85.96839904785156,9203.388022158659
2025-07-22,86.19529724121094,9530.852221236128
2025-07-29,86.77760314941406,9272.161584142857
2025-08-05,87.89330291748047,9556.685021084342
2025-08-12,87.66449737548828,9438.797135363757
2025-08-19,87.29509735107422,9299.389684059268
2025-08-26,87.60859680175781,9544.60107955579
2025-09-02,88.00140380859375,10042.348098584904
2025-09-09,87.98049926757812,10305.571954200981
2025-09-16,88.12349700927734,10451.517016146508
2025-09-23,88.30439758300781,10733.313425363565
2025-09-30,88.70449829101562,10953.630342804094
2025-10-07,88.72109985351562,11343.04288397319
2025-10-14,88.66510009765625,11797.973446447259
2025-10-21,87.87999725341797,11549.409567469293
2025-10-28,88.22209930419922,11249.74636142541
2025-11-04,88.72339630126953,11260.898202656443
2025-11-11,88.70709991455078,11712.582204686665
2025-11-18,88.63590240478516,11573.520496551157
2025-11-25,89.14779663085938,11863.635193021111
2025-12-02,89.61270141601562,12062.068400647238
2025-12-09,90.12999725341797,12189.94251609846
2025-12-16,90.77690124511719,12562.868211281911
2025-12-23,89.60389709472656,12914.184332807532
2025-12-30,89.9000015258789,12631.118859534792
